Word_ID,Word,Valence_Mean,Valence_SD,Valence_N,Arousal_Mean,Arousal_SD,Arousal_N,Men_Valence_Mean,Men_Valence_SD,Men_Valence_N,Women_Valence_Mean,Women_Valence_SD,Women_Valence_N,Men_Arousal_Mean,Men_Arousal_SD,Men_Arousal_N,Women_Arousal_Mean,Women_Arousal_SD,Women_Arousal_N,NOM,subTF,NOS,AOA,Compositionality,Concreteness,EER,Familiarity,Imageability,SER,sF,sNOM,ST,RT (ms),log_subTF,Exclusion_Reason,Candidate_Status
9435,寻找,0.2,0.5,25,2.0,1.11,27,0.25,0.45,12,0.15,0.55,13,2.0,1.0,7,2.0,1.17,20,1,1749,13,1.3,5.583333333,4.266666667,3.153846154,5.818181818,4.3,3.470588235,4.857142857,1.25,5.818181818,582.1103448,3.2430380486862944,,excluded
9445,询问,0.15,0.67,26,2.04,1.0,26,0.45,0.69,11,-0.07,0.59,15,2.06,0.93,16,2.0,1.15,10,1,462,14,2.0625,6.083333333,4.1875,3.176470588,5.818181818,6.066666667,3.294117647,4.466666667,1.466666667,5.6875,561.73,2.6655809910179533,,excluded
9447,循环,0.26,0.59,27,1.84,1.03,25,0.36,0.5,11,0.19,0.66,16,1.75,1.14,12,1.92,0.95,13,1,231,20,2.916666667,3.666666667,5.769230769,3.142857143,5.545454545,4.214285714,2.941176471,5.066666667,1.461538462,6.2,583.8555556,2.3654879848909,,excluded
9450,训练,0.68,0.77,28,2.67,0.76,24,0.45,0.69,11,0.82,0.81,17,2.64,0.67,11,2.69,0.85,13,1,1306,13,1.8125,5.833333333,5.375,4.117647059,6.454545455,6.0,4.529411765,3.733333333,1.533333333,5.625,601.1321429,3.116275587580544,,excluded
9453,迅速,1.12,1.03,26,2.9,0.89,21,1.31,1.03,13,0.92,1.04,13,3.2,0.79,10,2.64,0.92,11,1,444,16,2.181818182,4.9,3.615384615,4.071428571,6.045454545,3.1,4.066666667,4.642857143,1.615384615,6.1,610.3535714,2.6483600109809315,,excluded
9459,压力,-0.8,1.04,25,2.46,1.21,26,-0.67,1.11,15,-1.0,0.94,10,2.17,1.47,12,2.71,0.91,14,3,1528,8,2.8,5.428571429,4.6,4.857142857,6.238095238,5.5,4.176470588,5.0,1.6875,5.785714286,530.3344828,3.1844074854123203,外部常模义项数>2,excluded
9460,压迫,-1.63,0.65,24,2.93,0.66,28,-1.69,0.63,13,-1.55,0.69,11,2.86,0.66,14,3.0,0.68,14,2,159,14,2.266666667,5.214285714,3.071428571,4.0,5.272727273,4.769230769,3.25,3.923076923,1.769230769,5.583333333,584.6461538,2.2041199826559246,,excluded
9461,压缩,0.08,0.64,25,2.26,1.1,19,0.23,0.83,13,-0.08,0.29,12,2.33,1.32,9,2.2,0.92,10,2,54,20,3.307692308,4.928571429,3.769230769,2.1875,6.285714286,3.916666667,3.647058824,3.4,1.833333333,5.0,613.0461538,1.7403626894942439,,excluded
9462,压抑,-1.65,0.75,26,2.24,1.46,29,-1.33,0.71,9,-1.82,0.73,17,2.42,1.24,12,2.12,1.62,17,2,239,13,3.692307692,4.933333333,3.285714286,4.8,5.454545455,4.1,4.764705882,3.875,1.533333333,4.933333333,553.5142857,2.380211241711606,,negative_pool
9467,鸦片,-2.62,0.7,26,3.0,1.3,26,-2.54,0.88,13,-2.69,0.48,13,2.54,1.51,13,3.46,0.88,13,1,45,13,3.133333333,2.6,5.466666667,2.764705882,5.136363636,3.461538462,3.0,2.647058824,1.538461538,5.705882353,644.2884615,1.662757831681574,暴力/犯罪/灾害/死亡等强情境词,excluded
