Word_ID,Word,Valence_Mean,Valence_SD,Valence_N,Arousal_Mean,Arousal_SD,Arousal_N,Men_Valence_Mean,Men_Valence_SD,Men_Valence_N,Women_Valence_Mean,Women_Valence_SD,Women_Valence_N,Men_Arousal_Mean,Men_Arousal_SD,Men_Arousal_N,Women_Arousal_Mean,Women_Arousal_SD,Women_Arousal_N,NOM,subTF,NOS,AOA,Compositionality,Concreteness,EER,Familiarity,Imageability,SER,sF,sNOM,ST,RT (ms),log_subTF,Exclusion_Reason,Candidate_Status
13,爱好,1.24,0.93,25,2.35,1.13,26,1.2,0.77,15,1.3,1.16,10,2.42,1.16,12,2.29,1.14,14,3,376,16,1.461538462,4.071428571,4.307692308,4.5625,6.363636364,3.916666667,4.176470588,5.666666667,1.666666667,6.0,552.4518519,2.576341350205793,外部常模义项数>2,excluded
14,爱护,2.11,0.63,28,2.44,1.08,25,1.92,0.67,12,2.25,0.58,16,3.0,1.1,11,2.0,0.88,14,1,77,17,1.8,4.0,5.142857143,3.9375,6.136363636,5.125,4.5625,4.8,1.4,5.625,596.7655172,1.8920946026904804,,positive_pool
16,爱情,1.38,1.06,26,3.24,0.83,29,1.67,1.12,9,1.24,1.03,17,3.42,0.67,12,3.12,0.93,17,1,964,21,2.333333333,5.111111111,4.692307692,5.533333333,6.818181818,3.555555556,4.0625,5.071428571,1.416666667,6.454545455,559.3892857,2.9845273133437926,,excluded
22,安定,1.8,0.82,25,2.27,1.28,22,1.8,0.79,10,1.8,0.86,15,2.54,1.13,13,1.89,1.45,9,2,218,14,2.307692308,5.833333333,5.714285714,4.071428571,4.590909091,4.083333333,4.0,4.0,1.5,6.0,593.462963,2.3404441148401185,,excluded
26,安静,1.09,0.93,34,1.48,1.38,23,1.15,0.99,13,1.05,0.92,21,1.67,1.54,15,1.13,0.99,8,2,1753,20,2.125,5.357142857,4.0,4.714285714,6.363636364,5.428571429,4.411764706,5.384615385,1.461538462,5.333333333,537.962069,3.244029589030022,,excluded
29,安排,0.52,0.77,25,1.69,1.05,26,0.4,0.51,15,0.7,1.06,10,2.0,1.2,8,1.56,0.98,18,2,2247,17,1.875,3.272727273,4.375,3.235294118,6.0,6.333333333,4.117647059,5.066666667,1.466666667,5.25,550.5407407,3.3517963068970236,,excluded
30,安全,2.0,0.94,26,2.73,1.12,26,2.29,0.76,7,1.89,0.99,19,2.62,1.04,13,2.85,1.21,13,1,3339,12,1.625,3.636363636,4.733333333,4.176470588,6.136363636,4.0,5.235294118,5.533333333,1.333333333,5.375,514.4933333,3.5237464668115646,明显多义或语境依赖,excluded
35,安慰,1.15,0.77,27,2.23,0.99,26,0.91,0.83,11,1.31,0.7,16,2.13,1.02,16,2.4,0.97,10,2,616,21,2.153846154,4.083333333,5.357142857,4.571428571,6.181818182,5.25,4.875,4.666666667,1.428571429,5.692307692,569.1111111,2.7902851640332416,,excluded
38,安心,1.5,0.51,24,1.58,0.93,24,1.25,0.46,8,1.63,0.5,16,1.36,0.74,14,1.9,1.1,10,1,290,10,2.076923077,4.666666667,5.0,4.285714286,6.095238095,4.25,4.875,4.833333333,1.5,5.615384615,569.5448276,2.4638929889859074,,excluded
41,安置,0.54,0.81,26,1.88,0.86,26,0.62,0.77,13,0.46,0.88,13,1.85,1.07,13,1.92,0.64,13,1,205,19,3.181818182,4.384615385,4.818181818,2.153846154,6.727272727,4.4,2.647058824,3.066666667,1.692307692,4.384615385,610.964,2.3138672203691533,,excluded
42,安装,0.52,0.96,25,1.72,1.06,25,0.88,1.02,16,-0.11,0.33,9,2.13,0.35,8,1.53,1.23,17,1,271,18,3.272727273,4.615384615,4.066666667,3.5,4.631578947,5.0,3.6875,3.214285714,1.533333333,5.733333333,595.7925926,2.4345689040341987,,excluded
54,案件,-0.54,1.02,24,2.85,0.88,20,-1.0,1.0,13,0.0,0.77,11,2.8,0.92,10,2.9,0.88,10,1,784,16,2.357142857,4.5625,4.8,3.857142857,6.136363636,3.75,4.470588235,3.428571429,1.571428571,5.1875,606.3961538,2.8948696567452528,,excluded
57,暗淡,-1.19,0.8,26,1.52,1.08,23,-1.0,0.82,13,-1.38,0.77,13,2.0,1.15,7,1.31,1.01,16,2,34,24,3.214285714,4.923076923,3.214285714,2.4,4.363636364,4.8,4.8125,3.5625,1.333333333,5.3125,656.4821429,1.5440680443502757,,excluded
59,暗示,-0.04,0.79,25,2.32,1.11,25,0.09,0.3,11,-0.14,1.03,14,2.09,1.14,11,2.5,1.09,14,1,626,18,2.785714286,4.384615385,3.428571429,2.666666667,6.545454545,3.333333333,3.5,3.5,1.666666667,5.125,547.4166667,2.7972675408307164,,excluded
93,把握,1.23,0.91,26,1.69,0.97,26,1.0,0.91,13,1.46,0.88,13,1.31,0.95,13,2.08,0.86,13,3,439,19,2.857142857,3.642857143,4.0625,3.6,6.409090909,4.0,2.764705882,3.285714286,1.6875,5.769230769,642.1321429,2.6434526764861874,外部常模义项数>2,excluded
98,霸权,-1.76,0.97,25,2.92,1.16,26,-1.87,0.92,15,-1.6,1.07,10,3.23,0.93,13,2.62,1.33,13,1,7,27,3.416666667,4.066666667,4.714285714,4.333333333,4.181818182,5.0,3.529411765,2.6875,1.2,5.0,693.5576923,0.9030899869919435,明显多义或语境依赖,excluded
115,白天,0.58,0.93,24,1.56,1.34,27,0.5,0.76,8,0.63,1.02,16,1.56,1.67,9,1.56,1.2,18,1,469,9,1.230769231,4.384615385,5.285714286,3.933333333,6.409090909,5.384615385,3.153846154,4.769230769,1.466666667,5.857142857,612.6461538,2.6720978579357175,,excluded
123,百货,0.24,0.6,25,1.77,1.24,26,0.2,0.63,10,0.27,0.59,15,1.36,1.21,11,2.07,1.22,15,1,48,14,2.6,3.666666667,5.866666667,3.375,5.363636364,3.5,3.8125,3.6875,1.666666667,6.0,660.4692308,1.6901960800285136,,excluded
130,摆脱,0.04,1.26,23,2.68,1.05,31,0.64,1.36,11,-0.5,0.9,12,2.78,0.97,9,2.64,1.09,22,1,876,24,2.583333333,4.0,3.461538462,2.733333333,5.318181818,6.222222222,2.875,3.642857143,1.583333333,6.454545455,605.3766667,2.9429995933660407,,excluded
141,班长,0.65,0.89,26,2.0,0.87,17,0.56,0.89,16,0.8,0.92,10,1.9,0.99,10,2.14,0.69,7,1,53,14,1.583333333,4.866666667,6.5625,4.583333333,5.909090909,4.933333333,3.588235294,4.5,1.416666667,5.8125,551.525,1.7323937598229686,,excluded
163,办法,0.96,0.9,27,1.86,0.99,22,0.79,0.8,14,1.15,0.99,13,2.4,0.55,5,1.71,1.05,17,1,3701,12,2.2,4.5,4.133333333,3.357142857,6.095238095,5.583333333,2.647058824,4.857142857,1.5,6.0,567.4615385,3.5684364144168854,,excluded
164,办公,0.52,0.92,25,1.96,1.07,23,0.6,0.97,10,0.47,0.92,15,2.31,1.18,13,1.5,0.71,10,1,181,8,2.142857143,3.0625,5.933333333,2.571428571,5.909090909,6.428571429,4.058823529,3.928571429,1.785714286,5.8125,624.8153846,2.2600713879850747,,excluded
166,办事,0.44,0.87,25,2.26,1.06,27,0.38,0.96,13,0.5,0.8,12,2.29,0.91,14,2.23,1.24,13,1,322,12,3.272727273,2.9,3.666666667,3.714285714,5.19047619,4.5,3.066666667,3.785714286,2.0,5.4,572.2607143,2.509202522331103,,excluded
177,半夜,-0.35,0.49,23,1.84,1.11,25,-0.31,0.48,13,-0.4,0.52,10,1.82,0.98,11,1.86,1.23,14,2,447,13,1.857142857,5.2,5.8,4.0,6.238095238,5.230769231,5.333333333,4.928571429,1.615384615,6.076923077,535.56,2.651278013998144,,excluded
190,帮忙,1.68,0.75,25,2.38,1.06,24,1.73,0.65,11,1.64,0.84,14,2.58,0.51,12,2.17,1.4,12,2,3086,15,1.6,2.8,5.083333333,3.583333333,6.272727273,5.9,4.5625,5.428571429,1.307692308,5.538461538,541.9296296,3.4895366294820955,,excluded
193,帮助,1.23,1.14,26,2.43,0.95,23,0.92,1.26,13,1.54,0.97,13,2.29,1.11,7,2.5,0.89,16,1,3991,16,1.4,5.285714286,4.4375,4.4,6.409090909,4.692307692,3.642857143,5.625,1.533333333,5.230769231,541.416,3.6011905326153335,,excluded
196,榜样,2.25,0.61,24,2.54,1.02,24,2.13,0.64,8,2.31,0.6,16,2.71,0.99,14,2.3,1.06,10,1,241,24,2.230769231,4.416666667,4.909090909,3.769230769,4.315789474,3.636363636,3.117647059,3.615384615,1.307692308,5.636363636,568.9740741,2.383815365980431,明显多义或语境依赖,excluded
198,傍晚,-0.04,0.61,25,0.92,0.8,26,-0.08,0.29,12,0.0,0.82,13,1.0,0.58,7,0.89,0.88,19,1,78,23,1.833333333,4.25,6.230769231,4.5,5.263157895,5.285714286,3.823529412,4.266666667,1.461538462,6.266666667,594.9923077,1.8976270912904414,,excluded
205,包裹,0.15,0.67,26,2.15,1.29,26,0.27,0.46,15,0.0,0.89,11,1.92,1.08,12,2.36,1.45,14,2,357,19,2.571428571,4.384615385,5.866666667,3.857142857,6.142857143,5.916666667,3.666666667,4.642857143,1.846153846,4.0625,608.5958333,2.5538830266438746,,excluded
206,包含,0.47,0.68,30,1.53,1.12,17,0.4,0.84,10,0.5,0.61,20,1.14,0.69,7,1.8,1.32,10,1,229,12,2.928571429,3.6,3.733333333,3.2,6.363636364,5.142857143,2.125,3.666666667,1.714285714,5.375,596.4821429,2.361727836017593,,excluded
207,包括,0.15,0.49,20,1.31,1.05,26,0.14,0.38,7,0.15,0.55,13,1.13,0.99,8,1.39,1.09,18,1,1695,14,2.4,5.133333333,4.125,3.375,6.095238095,4.0,3.266666667,5.8,1.333333333,5.8,585.3928571,3.229425847920695,,excluded
209,包围,-0.31,0.88,26,2.39,1.16,23,-0.23,0.83,13,-0.38,0.96,13,2.0,1.63,7,2.56,0.89,16,2,447,12,2.307692308,4.0,4.454545455,2.692307692,5.590909091,5.272727273,3.647058824,3.384615385,1.307692308,4.909090909,549.8555556,2.651278013998144,,excluded
216,宝贝,1.71,1.0,24,3.04,0.76,27,1.82,0.98,11,1.62,1.04,13,2.71,0.76,7,3.15,0.75,20,4,3420,12,1.466666667,5.266666667,5.6,5.0,5.857142857,3.428571429,4.375,4.1875,1.733333333,6.117647059,557.404,3.5341530741850624,外部常模义项数>2,excluded
225,保持,0.63,0.97,24,1.68,1.11,25,0.11,0.6,9,0.93,1.03,15,1.73,1.16,15,1.6,1.07,10,1,2808,18,1.615384615,5.142857143,2.076923077,3.0625,6.238095238,5.25,3.117647059,4.466666667,1.384615385,4.866666667,577.6259259,3.448551739201578,,excluded
226,保存,0.22,0.42,23,1.82,1.12,28,0.23,0.44,13,0.2,0.42,10,2.0,1.18,14,1.64,1.08,14,1,448,15,1.727272727,3.555555556,4.769230769,2.333333333,6.045454545,5.333333333,3.625,4.357142857,1.333333333,6.636363636,528.2310345,2.6522463410033232,,excluded
227,保护,1.73,0.63,22,2.52,1.12,27,1.83,0.75,6,1.69,0.6,16,2.25,1.39,8,2.63,1.01,19,1,2895,16,1.857142857,4.538461538,4.928571429,4.466666667,6.909090909,5.133333333,5.0625,4.125,1.666666667,6.3125,530.1137931,3.461798557525109,,excluded
229,保健,0.39,0.78,23,1.83,1.11,23,0.25,0.89,8,0.47,0.74,15,1.93,1.07,14,1.67,1.22,9,2,54,19,3.533333333,4.133333333,3.923076923,3.0625,4.952380952,4.0,3.8,3.428571429,2.066666667,4.6875,590.3111111,1.7403626894942439,,excluded
233,保留,0.27,0.67,26,1.4,0.75,20,0.27,0.9,11,0.27,0.46,15,1.63,0.52,8,1.25,0.87,12,3,710,19,2.066666667,4.071428571,3.8125,2.866666667,6.0,5.461538462,2.357142857,3.25,1.571428571,4.076923077,552.7607143,2.851869600729766,外部常模义项数>2,excluded
237,保险,0.46,1.1,26,1.86,1.35,21,0.27,1.01,11,0.6,1.18,15,1.55,1.51,11,2.2,1.14,10,4,945,18,2.0,4.571428571,5.142857143,3.6,6.272727273,5.4375,3.875,4.333333333,1.6,5.1875,568.3892857,2.975891136401793,外部常模义项数>2,excluded
240,保障,1.48,0.77,25,2.0,1.04,25,1.33,0.62,15,1.7,0.95,10,2.25,1.16,8,1.88,0.99,17,2,213,22,3.333333333,4.727272727,4.0,3.466666667,5.772727273,3.076923077,3.333333333,2.928571429,1.6875,5.454545455,596.7321429,2.330413773349191,,excluded
242,保证,1.31,0.88,26,2.29,1.0,24,1.5,0.85,10,1.19,0.91,16,2.5,0.97,10,2.14,1.03,14,2,3626,16,2.2,3.933333333,4.25,4.333333333,5.318181818,4.538461538,3.0,3.9375,1.933333333,5.0,578.0444444,3.5595475555804343,,excluded
245,堡垒,0.19,0.51,21,1.44,1.12,27,0.22,0.44,9,0.17,0.58,12,1.62,1.19,13,1.29,1.07,14,2,112,21,2.857142857,5.0,6.142857143,2.866666667,6.045454545,4.75,3.352941176,2.5,1.538461538,5.25,786.4666667,2.0530784434834195,,excluded
246,报仇,-2.0,1.04,25,3.04,1.17,25,-1.94,1.18,16,-2.11,0.78,9,2.5,1.31,8,3.29,1.05,17,1,328,11,1.818181818,2.444444444,4.538461538,4.2,4.318181818,4.0,4.0625,2.428571429,1.166666667,5.909090909,573.2035714,2.5171958979499744,,excluded
247,报酬,0.96,0.89,25,3.24,0.83,25,0.58,0.9,12,1.31,0.75,13,3.27,0.79,11,3.21,0.89,14,1,299,20,3.0,3.428571429,4.933333333,4.133333333,5.0,4.545454545,3.642857143,4.692307692,1.461538462,5.5,635.3785714,2.4771212547196626,,excluded
249,报道,0.43,0.73,23,2.41,0.84,27,0.67,0.89,12,0.18,0.4,11,2.45,1.13,11,2.38,0.62,16,2,911,19,2.5,2.846153846,4.636363636,2.846153846,5.5,5.3,3.352941176,4.533333333,1.846153846,5.692307692,592.0923077,2.959994838328416,,excluded
251,报告,0.52,0.96,25,2.17,0.96,24,0.5,0.97,16,0.56,1.01,9,2.0,1.29,7,2.24,0.83,17,2,1889,14,2.133333333,4.2,5.0,3.235294118,6.727272727,4.846153846,2.9375,4.176470588,2.0,4.764705882,515.7366667,3.2764618041732443,,excluded
253,报刊,0.27,0.98,22,1.52,0.92,25,0.33,1.03,6,0.25,1.0,16,1.75,0.71,8,1.41,1.0,17,1,19,12,1.833333333,5.333333333,6.5,2.666666667,6.363636364,5.4,4.588235294,3.625,1.2,5.625,629.1923077,1.3010299956639813,,excluded
254,报名,0.18,0.39,22,2.3,0.99,27,0.0,0.0,7,0.27,0.46,15,2.47,1.01,17,2.0,0.94,10,1,148,13,2.25,4.533333333,5.375,3.916666667,6.0,5.066666667,3.764705882,4.133333333,1.4,5.8125,513.7413793,2.173186268412274,,excluded
255,报社,0.32,0.99,25,1.59,1.3,22,0.2,1.23,10,0.4,0.83,15,1.58,1.51,12,1.6,1.07,10,1,121,14,2.785714286,4.583333333,5.428571429,2.642857143,5.863636364,5.5,3.25,2.5625,1.6875,5.076923077,668.5407407,2.0863598306747484,,excluded
257,报纸,0.04,0.2,25,2.12,1.05,25,0.0,0.0,10,0.07,0.26,15,1.75,0.89,8,2.29,1.1,17,2,981,14,2.3,4.5,6.0,3.153846154,6.19047619,5.615384615,4.266666667,4.461538462,1.125,6.666666667,566.108,2.9921114877869495,,excluded
260,抱歉,-0.15,1.19,26,2.19,0.94,26,0.0,1.15,7,-0.21,1.23,19,2.08,0.86,13,2.31,1.03,13,1,5096,22,1.615384615,4.153846154,4.214285714,3.866666667,6.863636364,3.692307692,4.461538462,4.769230769,1.666666667,5.5,590.3576923,3.707314633588708,,excluded
261,抱怨,-1.63,0.82,24,2.0,1.2,26,-1.89,0.6,9,-1.47,0.92,15,2.19,1.17,16,1.7,1.25,10,1,886,17,2.071428571,3.266666667,3.875,4.692307692,5.590909091,5.923076923,4.933333333,4.285714286,1.470588235,5.769230769,565.2555556,2.9479236198317262,,negative_pool
267,暴力,-2.64,0.57,25,3.09,1.31,23,-2.5,0.71,10,-2.73,0.46,15,3.23,1.3,13,2.9,1.37,10,2,936,17,2.666666667,4.4,5.571428571,4.461538462,5.571428571,4.333333333,4.882352941,5.133333333,1.636363636,5.363636364,631.7111111,2.971739590887778,暴力/犯罪/灾害/死亡等强情境词,excluded
268,暴露,-0.96,0.69,24,2.23,1.18,26,-1.13,0.83,8,-0.88,0.62,16,2.38,1.09,16,2.0,1.33,10,1,553,36,2.857142857,5.25,4.6,3.571428571,5.818181818,4.25,3.705882353,5.428571429,1.933333333,4.625,593.972,2.74350976472843,暴力/犯罪/灾害/死亡等强情境词,excluded
271,爆炸,-1.52,1.08,21,3.22,1.19,27,-2.0,1.26,6,-1.33,0.98,15,3.75,0.71,8,3.0,1.29,19,2,992,28,3.0,5.333333333,5.363636364,3.307692308,5.136363636,5.0,5.176470588,3.923076923,1.5,5.727272727,620.4230769,2.996949248495381,暴力/犯罪/灾害/死亡等强情境词,excluded
272,爆竹,0.13,0.99,24,2.56,1.16,25,0.14,1.29,14,0.1,0.32,10,2.43,1.4,7,2.61,1.09,18,1,25,25,2.066666667,3.357142857,6.357142857,4.0,5.954545455,6.8125,5.625,3.2,1.133333333,5.1875,694.308,1.414973347970818,,excluded
273,卑鄙,-2.3,0.78,27,2.47,1.18,17,-2.25,0.77,16,-2.36,0.81,11,2.22,1.3,9,2.75,1.04,8,2,458,21,2.909090909,4.615384615,4.0,4.0,5.857142857,3.7,3.529411765,3.266666667,1.692307692,4.230769231,688.5333333,2.661812685537261,,selected
277,杯子,0.19,0.74,27,1.3,1.18,23,-0.09,0.3,11,0.38,0.89,16,1.13,1.13,15,1.63,1.3,8,1,391,11,2.416666667,4.076923077,7.0,2.416666667,5.954545455,3.909090909,4.375,4.846153846,1.142857143,6.272727273,577.8076923,2.593286067020457,,excluded
278,悲哀,-1.92,0.72,24,2.0,1.23,26,-2.0,0.71,9,-1.87,0.74,15,2.13,1.31,16,1.8,1.14,10,1,278,21,1.764705882,5.733333333,3.866666667,4.666666667,6.0,3.363636364,5.071428571,4.846153846,1.538461538,4.833333333,599.6076923,2.4456042032735974,,selected
279,悲愤,-1.08,0.93,26,3.04,1.02,23,-1.0,0.91,13,-1.15,0.99,13,3.29,0.76,7,2.94,1.12,16,1,13,24,2.933333333,5.0,3.133333333,4.833333333,4.409090909,5.846153846,4.625,3.846153846,1.769230769,5.916666667,629.762069,1.146128035678238,,excluded
280,悲观,-1.81,0.85,26,2.64,1.09,22,-1.73,0.9,11,-1.87,0.83,15,2.73,1.1,11,2.55,1.13,11,1,100,18,2.9,5.454545455,3.538461538,4.384615385,6.136363636,6.153846154,3.0,4.0,1.25,5.777777778,591.3037037,2.0043213737826426,,selected
281,悲剧,-2.23,0.75,22,2.65,1.09,26,-2.2,0.68,15,-2.29,0.95,7,2.71,0.99,14,2.58,1.24,12,2,518,22,3.0,3.4375,4.333333333,3.857142857,5.857142857,4.142857143,3.133333333,3.9375,1.714285714,5.125,592.4714286,2.7151673578484576,,excluded
288,北方,0.25,0.74,24,1.39,1.08,23,0.0,0.0,5,0.32,0.82,19,1.42,1.16,12,1.36,1.03,11,2,203,9,1.428571429,3.9375,5.466666667,4.142857143,5.590909091,5.0,4.352941176,4.642857143,1.642857143,5.0,561.7333333,2.3096301674258988,,excluded
291,北面,0.13,0.34,24,1.23,1.02,22,0.23,0.44,13,0.0,0.0,11,1.6,0.97,10,0.92,1.0,12,1,100,14,1.533333333,3.5,5.416666667,2.666666667,6.454545455,4.9,2.5625,4.642857143,1.538461538,6.0,587.492,2.0043213737826426,,excluded
292,贝壳,0.25,0.94,24,1.38,1.13,24,0.43,1.16,14,0.0,0.47,10,1.33,1.12,9,1.4,1.18,15,1,70,11,1.307692308,5.785714286,6.769230769,2.25,5.363636364,4.583333333,5.117647059,2.933333333,1.333333333,5.333333333,646.4416667,1.8512583487190752,,excluded
300,背后,-0.44,0.71,25,1.81,1.13,26,-0.75,0.71,8,-0.29,0.69,17,2.11,1.05,9,1.65,1.17,17,2,869,15,2.3,4.083333333,4.933333333,3.846153846,6.818181818,3.7,3.117647059,5.214285714,2.083333333,5.090909091,567.9923077,2.9395192526186187,,excluded
302,背景,0.04,0.93,23,2.0,1.14,24,0.0,0.5,9,0.07,1.14,14,2.0,1.3,14,2.0,0.94,10,3,625,21,2.166666667,3.846153846,3.785714286,4.214285714,6.863636364,6.0,3.0625,4.0,1.733333333,5.333333333,544.512,2.7965743332104296,外部常模义项数>2,excluded
306,背心,-0.04,0.77,23,1.24,1.09,21,-0.13,0.99,8,0.0,0.65,15,1.42,1.16,12,1.0,1.0,9,1,103,13,2.666666667,3.0,6.076923077,3.0625,4.727272727,5.461538462,3.333333333,2.857142857,1.6,5.411764706,603.4481481,2.0170333392987803,,excluded
313,被动,-0.96,0.84,25,1.79,1.14,24,-0.82,1.08,11,-1.07,0.62,14,1.92,1.24,12,1.67,1.07,12,2,82,16,2.4375,2.727272727,3.125,3.058823529,4.761904762,6.2,3.588235294,3.0,1.733333333,4.6875,630.2785714,1.919078092376074,,excluded
318,奔驰,0.71,0.78,21,2.83,0.92,24,0.38,0.74,8,0.92,0.76,13,2.93,0.83,14,2.7,1.06,10,1,95,14,3.181818182,4.0,5.461538462,3.1875,5.727272727,5.833333333,4.176470588,4.0,2.0,4.166666667,610.3259259,1.9822712330395684,,excluded
320,奔跑,0.84,0.85,25,2.64,0.9,22,0.9,0.88,10,0.8,0.86,15,2.83,1.03,12,2.4,0.7,10,2,117,20,1.333333333,6.466666667,6.0,3.625,6.227272727,5.5,5.4,4.066666667,1.333333333,6.666666667,549.8851852,2.0718820073061255,,excluded
328,本领,1.21,0.92,19,1.86,1.11,28,1.43,1.13,7,1.08,0.79,12,2.0,0.87,9,1.79,1.23,19,1,84,16,2.7,3.909090909,4.384615385,3.307692308,6.318181818,5.615384615,3.066666667,4.307692308,1.625,5.777777778,584.668,1.9294189257142926,,excluded
330,本能,0.32,0.69,25,2.29,1.01,21,0.38,0.87,13,0.25,0.45,12,2.1,1.2,10,2.45,0.82,11,1,294,15,3.909090909,2.692307692,4.363636364,3.846153846,5.181818182,4.2,3.470588235,3.333333333,1.230769231,5.384615385,541.9666667,2.469822015978163,,excluded
339,本质,0.29,0.69,24,1.8,0.96,25,0.23,0.44,13,0.36,0.92,11,1.5,0.8,12,2.08,1.04,13,1,270,13,3.090909091,3.0,3.461538462,3.266666667,5.545454545,6.111111111,2.125,3.642857143,1.25,5.818181818,556.7821429,2.432969290874406,,excluded
342,笨重,-1.12,0.67,25,1.88,1.24,26,-0.9,0.32,10,-1.27,0.8,15,1.91,1.22,11,1.87,1.3,15,2,32,20,3.090909091,5.272727273,4.769230769,2.3125,5.380952381,5.0,3.529411765,3.214285714,1.333333333,5.333333333,708.7259259,1.5185139398778875,,excluded
344,崩溃,-2.04,0.84,25,2.62,1.33,26,-2.0,0.85,15,-2.1,0.88,10,2.67,1.07,12,2.57,1.55,14,1,690,23,3.083333333,4.545454545,4.857142857,5.2,6.590909091,4.384615385,4.333333333,4.285714286,1.5,5.636363636,655.0038462,2.8394780473741985,,selected
352,鼻涕,-0.46,1.07,26,1.72,1.06,25,-0.91,1.04,11,-0.13,0.99,15,1.73,1.1,15,1.7,1.06,10,1,137,24,2.266666667,4.666666667,6.357142857,2.692307692,4.857142857,5.666666667,3.705882353,4.2,1.090909091,5.909090909,672.5666667,2.1398790864012365,,excluded
354,比较,0.08,0.57,25,1.73,0.98,22,-0.1,0.57,10,0.2,0.56,15,1.67,1.07,12,1.8,0.92,10,3,2179,14,2.714285714,4.6,3.133333333,3.666666667,5.772727273,5.785714286,3.0625,4.666666667,1.533333333,5.3125,597.452,3.3384564936046046,外部常模义项数>2,excluded
355,比例,0.19,0.7,31,1.41,0.96,22,0.2,0.42,10,0.19,0.81,21,1.57,0.85,14,1.13,1.13,8,3,140,12,3.2,4.5,3.214285714,2.615384615,5.318181818,3.916666667,2.058823529,4.642857143,1.375,5.333333333,562.3071429,2.1492191126553797,外部常模义项数>2,excluded
356,比如,0.0,0.0,22,1.65,1.06,26,0.0,0.0,10,0.0,0.0,12,1.88,0.99,8,1.56,1.1,18,1,1971,10,2.090909091,4.545454545,3.307692308,3.1875,5.681818182,4.333333333,3.529411765,6.214285714,1.25,5.833333333,547.7541667,3.2949069106051923,,excluded
357,比赛,0.61,0.96,28,2.92,1.0,25,0.42,0.79,12,0.75,1.06,16,3.0,1.1,11,2.86,0.95,14,2,1785,18,2.090909091,6.214285714,5.866666667,4.066666667,6.045454545,4.777777778,5.176470588,5.8125,1.363636364,6.2,581.925,3.2518814545525276,,excluded
360,比重,0.16,0.75,25,1.74,0.92,23,0.15,0.9,13,0.17,0.58,12,1.82,0.98,11,1.67,0.89,12,2,8,13,2.866666667,2.3,3.333333333,2.333333333,4.210526316,5.1,2.8125,4.071428571,1.333333333,4.714285714,698.2047619,0.9542425094393249,,excluded
363,笔记,0.55,0.97,33,1.91,1.16,23,0.58,1.0,12,0.52,0.98,21,2.27,1.16,15,1.25,0.89,8,2,191,15,1.923076923,4.076923077,5.642857143,3.666666667,6.318181818,6.307692308,3.538461538,4.615384615,1.882352941,6.642857143,536.6535714,2.2833012287035497,,excluded
366,笔直,1.54,0.93,24,1.71,1.18,28,1.58,1.08,12,1.5,0.8,12,2.0,0.93,8,1.6,1.27,20,1,48,18,2.142857143,4.0,5.125,3.285714286,6.0,5.714285714,4.2,4.5,1.714285714,5.625,635.8653846,1.6901960800285136,,excluded
373,必然,0.25,0.59,28,2.36,1.14,22,0.36,0.63,14,0.14,0.53,14,2.56,0.73,9,2.23,1.36,13,2,158,17,2.545454545,3.909090909,2.857142857,3.266666667,5.727272727,2.538461538,2.916666667,4.357142857,1.75,5.636363636,597.9827586,2.2013971243204513,,excluded
377,必需,0.55,0.67,22,2.31,1.23,26,0.5,0.71,10,0.58,0.67,12,2.5,1.24,12,2.14,1.23,14,1,214,19,1.727272727,5.230769231,4.6,4.266666667,5.590909091,5.0,3.352941176,5.875,1.636363636,5.666666667,678.1555556,2.3324384599156054,,excluded
378,必要,0.64,0.79,22,2.22,1.05,27,0.67,0.52,6,0.63,0.89,16,1.88,1.25,8,2.37,0.96,19,2,2411,14,2.285714286,4.769230769,3.785714286,2.133333333,5.863636364,3.0,3.1875,4.4375,1.933333333,4.6875,540.6571429,3.3823773034681137,,excluded
381,毕业,1.07,0.96,27,2.77,1.02,22,1.15,0.8,13,1.0,1.11,14,3.0,1.0,5,2.71,1.05,17,1,939,11,2.818181818,3.076923077,6.454545455,4.692307692,6.181818182,5.8,4.294117647,4.933333333,1.230769231,6.384615385,612.6814815,2.9731278535996988,,excluded
400,避免,0.19,1.13,26,1.88,1.03,26,0.23,1.01,13,0.15,1.28,13,1.69,1.11,13,2.08,0.95,13,1,756,23,1.923076923,5.333333333,4.785714286,3.142857143,6.0,5.416666667,2.75,4.166666667,1.142857143,5.846153846,562.556,2.8790958795000727,,excluded
405,边境,0.17,0.49,23,1.88,1.05,25,0.11,0.33,9,0.21,0.58,14,2.47,0.74,15,1.0,0.82,10,1,237,19,2.4,4.153846154,5.916666667,3.307692308,5.863636364,4.076923077,3.647058824,4.0,1.6875,6.285714286,606.8592593,2.376576957056512,,excluded
409,编辑,0.27,0.6,26,1.86,1.01,21,0.27,0.47,11,0.27,0.7,15,1.73,1.19,11,2.0,0.82,10,2,342,25,3.0,3.6,3.8,2.866666667,4.954545455,2.545454545,3.142857143,4.0,2.0,5.0,585.524,2.5352941200427703,,excluded
426,便利,1.5,0.86,26,1.79,1.25,24,1.6,0.84,10,1.44,0.89,16,2.0,1.41,10,1.64,1.15,14,2,167,16,1.785714286,3.666666667,4.1875,4.0,6.181818182,3.615384615,3.6,4.785714286,1.882352941,5.076923077,580.0925926,2.225309281725863,,excluded
