Variable,Positive_Mean,Positive_SD,Negative_Mean,Negative_SD,Mean_Diff_PosMinusNeg,Cohens_d,Welch_t,p
效价,2.1445833333333333,0.15088086768004771,-1.8191666666666666,0.2532041051021482,3.96375,19.018136386013655,65.8807569717,2.235397513087227e-40
唤醒度,2.735416666666666,0.3935786664272679,2.735,0.33273569612871545,0.0004166666666662877,0.0011433406661695137,0.003960648248330489,0.9968574677143753
log10字幕词频+1,2.4914269358125933,0.49141440923522983,2.479298180910505,0.5670378360044781,0.012128754902088534,0.022859635188801432,0.07918809917898689,0.9372334246564741
总笔画数,19.041666666666668,4.257772092116462,19.125,5.5349678919770975,-0.08333333333333215,-0.016876481056455193,-0.05846184528550816,0.9536505924835259
熟悉度,5.903526334791667,0.3933193054545007,5.898809523708333,0.5400951038888604,0.004716811083333994,0.009983895495865725,0.03458522851259501,0.9725741743036694
