condition,participant_id,face_emotion,face_valence,word,word_valence,word_Valence_Mean,word_Arousal_Mean,word_subTF,word_Familiarity,word_NOM,jitter,iti,facepath
负脸正词,man_sub15,fear,negative,热  情,positive,1.93,2.88,763,6.363636364,2,0.5,0.82,Session_01/Emotional_faces_gray/man_sub15/fear.jpg
负脸正词,man_sub26,fear,negative,踏  实,positive,2.08,1.76,33,5.545454545,2,0.49,1.02,Session_01/Emotional_faces_gray/man_sub26/fear.jpg
负脸正词,man_sub8,fear,negative,积  极,positive,2.26,3.04,426,6.136363636,2,0.34,0.81,Session_01/Emotional_faces_gray/man_sub8/fear.jpg
负性一致,woman_sub50,anger,negative,可  怕,negative,-1.74,3.29,2003,6.909090909,1,0.43,1.13,Session_01/Emotional_faces_gray/woman_sub50/anger.jpg
正脸负词,man_sub27,happiness,positive,抱  怨,negative,-1.63,2.0,886,5.590909091,1,0.33,0.89,Session_01/Emotional_faces_gray/man_sub27/happiness.jpg
负性一致,man_sub2,sadness,negative,胆  怯,negative,-1.38,2.16,65,5.863636364,1,0.36,1.14,Session_01/Emotional_faces_gray/man_sub2/sadness.jpg
正脸负词,woman_sub27,happiness,positive,撒  谎,negative,-2.09,2.5,1978,6.090909091,1,0.44,0.95,Session_01/Emotional_faces_gray/woman_sub27/happiness.jpg
正性一致,woman_sub20,happiness,positive,信  任,positive,2.17,2.52,1800,6.136363636,1,0.47,1.18,Session_01/Emotional_faces_gray/woman_sub20/happiness.jpg
正脸负词,man_sub28,happiness,positive,崩  溃,negative,-2.04,2.62,690,6.590909091,1,0.48,1.06,Session_01/Emotional_faces_gray/man_sub28/happiness.jpg
正性一致,woman_sub2,happiness,positive,勤  劳,positive,2.26,2.25,44,5.904761905,1,0.39,1.11,Session_01/Emotional_faces_gray/woman_sub2/happiness.jpg
正性一致,woman_sub41,happiness,positive,热  情,positive,1.93,2.88,763,6.363636364,2,0.47,1.16,Session_01/Emotional_faces_gray/woman_sub41/happiness.jpg
正性一致,man_sub30,happiness,positive,信  任,positive,2.17,2.52,1800,6.136363636,1,0.41,1.1,Session_01/Emotional_faces_gray/man_sub30/happiness.jpg
负脸正词,man_sub55,sadness,negative,诚  实,positive,2.31,2.35,724,5.904761905,1,0.41,0.86,Session_01/Emotional_faces_gray/man_sub55/sadness.jpg
正脸负词,man_sub31,happiness,positive,糟  糕,negative,-1.75,2.61,2805,5.523809524,1,0.3,0.9,Session_01/Emotional_faces_gray/man_sub31/happiness.jpg
负性一致,man_sub59,sadness,negative,撒  谎,negative,-2.09,2.5,1978,6.090909091,1,0.45,1.09,Session_01/Emotional_faces_gray/man_sub59/sadness.jpg
负脸正词,man_sub30,disgust,negative,幸  福,positive,2.29,3.0,1203,5.727272727,2,0.34,0.9,Session_01/Emotional_faces_gray/man_sub30/disgust.jpg
负脸正词,man_sub35,fear,negative,美  德,positive,2.22,2.26,71,5.545454545,1,0.4,0.89,Session_01/Emotional_faces_gray/man_sub35/fear.jpg
正脸负词,woman_sub35,happiness,positive,悲  观,negative,-1.81,2.64,100,6.136363636,1,0.48,0.94,Session_01/Emotional_faces_gray/woman_sub35/happiness.jpg
正脸负词,man_sub10,happiness,positive,狭  隘,negative,-1.96,2.21,42,4.909090909,2,0.31,0.99,Session_01/Emotional_faces_gray/man_sub10/happiness.jpg
负性一致,man_sub50,anger,negative,狡  猾,negative,-1.62,2.33,334,6.0,1,0.46,1.18,Session_01/Emotional_faces_gray/man_sub50/anger.jpg
负性一致,man_sub53,sadness,negative,焦  急,negative,-1.52,2.86,51,5.714285714,1,0.34,0.85,Session_01/Emotional_faces_gray/man_sub53/sadness.jpg
负脸正词,woman_sub18,disgust,negative,踏  实,positive,2.08,1.76,33,5.545454545,2,0.5,1.09,Session_01/Emotional_faces_gray/woman_sub18/disgust.jpg
负性一致,woman_sub38,fear,negative,可  怕,negative,-1.74,3.29,2003,6.909090909,1,0.46,1.19,Session_01/Emotional_faces_gray/woman_sub38/fear.jpg
负性一致,man_sub33,fear,negative,悲  观,negative,-1.81,2.64,100,6.136363636,1,0.49,0.82,Session_01/Emotional_faces_gray/man_sub33/fear.jpg
正脸负词,woman_sub55,happiness,positive,歪  曲,negative,-1.6,1.76,57,4.681818182,1,0.34,0.99,Session_01/Emotional_faces_gray/woman_sub55/happiness.jpg
正性一致,woman_sub54,happiness,positive,伟  大,positive,2.23,2.77,1392,5.904761905,1,0.46,0.97,Session_01/Emotional_faces_gray/woman_sub54/happiness.jpg
负性一致,woman_sub41,fear,negative,失  败,negative,-1.71,2.75,1573,6.545454545,2,0.46,1.12,Session_01/Emotional_faces_gray/woman_sub41/fear.jpg
负性一致,woman_sub55,anger,negative,侮  辱,negative,-2.13,2.74,541,4.681818182,1,0.35,1.12,Session_01/Emotional_faces_gray/woman_sub55/anger.jpg
负脸正词,woman_sub10,fear,negative,进  步,positive,2.27,2.71,522,5.952380952,2,0.32,1.07,Session_01/Emotional_faces_gray/woman_sub10/fear.jpg
正性一致,woman_sub21,happiness,positive,进  步,positive,2.27,2.71,522,5.952380952,2,0.39,0.83,Session_01/Emotional_faces_gray/woman_sub21/happiness.jpg
