trial,condition,isi_dur,participant_id,face_emotion,face_valence,word,word_valence,word_Valence_Mean,word_Arousal_Mean,word_subTF,word_Familiarity,word_NOM
63,负脸正词,1.9,man_sub21,sadness,negative,诚实,positive,2.31,2.35,724,5.904761905,1
64,负性一致,1.6,man_sub30,sadness,negative,欺骗,negative,-2.0,2.96,726,5.681818182,1
65,负脸正词,1.3,man_sub22,anger,negative,称赞,positive,2.19,2.96,148,5.636363636,1
66,正性一致,1.9,man_sub7,happiness,positive,美德,positive,2.22,2.26,71,5.545454545,1
67,正脸负词,1.0,man_sub3,happiness,positive,倒霉,negative,-1.96,2.23,595,4.80952381,1
68,负脸正词,1.6,man_sub29,disgust,negative,表扬,positive,2.16,3.33,114,5.954545455,1
69,负脸正词,1.3,man_sub11,fear,negative,纯洁,positive,2.08,2.22,231,5.666666667,2
70,负脸正词,1.6,woman_sub6,sadness,negative,鼓励,positive,2.48,3.17,531,6.590909091,1
71,负性一致,1.9,man_sub44,fear,negative,仇恨,negative,-2.33,2.35,253,5.363636364,1
72,负性一致,1.9,woman_sub13,disgust,negative,焦急,negative,-1.52,2.86,51,5.714285714,1
73,正脸负词,1.3,man_sub43,happiness,positive,失败,negative,-1.71,2.75,1573,6.545454545,2
74,负脸正词,1.0,man_sub53,sadness,negative,坚定,positive,2.11,2.89,253,6.045454545,2
75,正性一致,1.6,man_sub57,happiness,positive,表扬,positive,2.16,3.33,114,5.954545455,1
76,正脸负词,2.5,man_sub59,happiness,positive,慌张,negative,-1.52,2.84,80,6.454545455,1
77,负性一致,1.9,woman_sub37,disgust,negative,惊慌,negative,-1.52,2.87,195,5.136363636,1
78,正脸负词,1.0,man_sub17,happiness,positive,悲哀,negative,-1.92,2.0,278,6.0,1
79,正性一致,1.0,woman_sub53,happiness,positive,感动,positive,1.92,2.96,482,6.181818182,2
80,负性一致,2.2,woman_sub57,sadness,negative,凶狠,negative,-1.8,3.04,52,6.045454545,1
81,负性一致,1.3,woman_sub54,sadness,negative,狂妄,negative,-1.46,2.76,37,5.909090909,1
82,正性一致,1.9,woman_sub25,happiness,positive,礼貌,positive,2.0,2.38,723,6.090909091,1
83,正脸负词,2.2,woman_sub18,happiness,positive,说谎,negative,-1.8,2.38,1206,6.545454545,1
84,正脸负词,2.5,woman_sub20,happiness,positive,恐惧,negative,-1.92,2.93,990,6.227272727,1
85,正脸负词,2.2,man_sub9,happiness,positive,惊慌,negative,-1.52,2.87,195,5.136363636,1
86,正性一致,2.5,man_sub36,happiness,positive,踏实,positive,2.08,1.76,33,5.545454545,2
87,负脸正词,1.0,woman_sub27,anger,negative,聪明,positive,2.0,2.92,2503,6.318181818,1
88,负脸正词,1.9,woman_sub12,fear,negative,欢笑,positive,2.17,2.79,161,5.0,1
89,正脸负词,2.2,man_sub18,happiness,positive,讽刺,negative,-1.69,2.95,589,5.409090909,1
90,负性一致,2.5,man_sub27,disgust,negative,倒霉,negative,-1.96,2.23,595,4.80952381,1
91,正性一致,2.2,man_sub13,happiness,positive,聪明,positive,2.0,2.92,2503,6.318181818,1
92,负脸正词,1.0,man_sub52,sadness,negative,感动,positive,1.92,2.96,482,6.181818182,2
93,正脸负词,1.9,man_sub5,happiness,positive,可恶,negative,-1.84,3.0,443,5.095238095,1
94,正脸负词,2.5,man_sub60,happiness,positive,狠心,negative,-1.74,2.46,35,5.571428571,2
95,正脸负词,1.9,woman_sub26,happiness,positive,可怕,negative,-1.74,3.29,2003,6.909090909,1
96,正脸负词,1.6,man_sub48,happiness,positive,欺骗,negative,-2.0,2.96,726,5.681818182,1
